id,status,sub_status,created_at,operation_date,reference,full_name,courier,ID Envío,tracking
1503897,in_preparation,in_preparation,17/5/2020 9:36:00,17/5/2020,Shipit0001,Antonio Garcia,starken,TEST001,929621911
1503896,in_preparation,in_preparation,17/5/2020 9:35:59,17/5/2020,Shipit0002,Jose Gonzalez,starken,TEST002,929621892
1503895,in_preparation,in_preparation,17/5/2020 9:35:58,17/5/2020,Shipit0003,Manuel Fernandez,starken,TEST003,929621891
1503894,in_preparation,in_preparation,17/5/2020 9:35:57,17/5/2020,Shipit0004,Francisco Perez,starken,TEST004,929621893
1503893,in_preparation,in_preparation,17/5/2020 9:35:57,17/5/2020,Shipit0005,David Lopez,starken,TEST005,929621888
1503892,in_preparation,in_preparation,17/5/2020 9:35:56,17/5/2020,Shipit0006,Juan Rodriguez,starken,TEST006,929621910
1503891,in_preparation,in_preparation,17/5/2020 9:35:55,17/5/2020,Shipit0007,Jose Antonio Martinez,starken,TEST007,929621908
1503890,in_preparation,in_preparation,17/5/2020 9:35:54,17/5/2020,Shipit0008,Javier Sanchez,starken,TEST008,929621889
1503889,in_preparation,in_preparation,17/5/2020 9:35:53,17/5/2020,Shipit0009,Daniel Gomez,starken,TEST009,929621866
1503888,in_preparation,in_preparation,17/5/2020 9:35:52,17/5/2020,Shipit0010,Jose Luis Alvarez,starken,TEST010,929621886
1503887,retired_by,retired_by,17/5/2020 9:35:51,17/5/2020,Shipit0011,Francisco Javier Martin,starken,TEST011,929621864
1503886,retired_by,retired_by,17/5/2020 9:35:50,17/5/2020,Shipit0012,Carlos Diaz,starken,TEST012,929621887
1503885,retired_by,retired_by,17/5/2020 9:35:50,17/5/2020,Shipit0013,Jesus Alonso,starken,TEST013,929621863
1503884,retired_by,retired_by,17/5/2020 9:35:49,17/5/2020,Shipit0014,Alejandro Ruiz,starken,TEST014,929621885
1503883,retired_by,retired_by,17/5/2020 9:35:48,17/5/2020,Shipit0015,Miguel Hernandez,starken,TEST015,929621861
1503882,received_for_courier,received_for_courier,17/5/2020 9:35:47,17/5/2020,Shipit0016,Jose Manuel Gutierrez,starken,TEST016,929621860
1503881,received_for_courier,received_for_courier,17/5/2020 9:35:46,17/5/2020,Shipit0017,Rafael Blanco,starken,TEST017,929621862
1503880,received_for_courier,received_for_courier,17/5/2020 9:35:45,17/5/2020,Shipit0018,Miguel Angel Jimenez,starken,TEST018,929621884
1503879,received_for_courier,received_for_courier,17/5/2020 9:35:44,17/5/2020,Shipit0019,Pedro Moreno,starken,TEST019,929621883
1503878,received_for_courier,received_for_courier,17/5/2020 9:35:44,17/5/2020,Shipit0020,Angel Muñoz,starken,TEST020,929621859
1503877,in_route,in_route,16/5/2020 9:35:44,16/5/2020,Shipit0021,Antonio Vazquez,starken,TEST021,929621882
1503876,in_route,in_route,16/5/2020 9:35:43,16/5/2020,Shipit0022,Jose Gil,starken,TEST022,929621858
1503875,in_route,in_route,16/5/2020 9:35:42,16/5/2020,Shipit0023,Manuel Dominguez,starken,TEST023,929621855
1503874,in_route,in_route,16/5/2020 9:35:41,16/5/2020,Shipit0024,Francisco Castro,starken,TEST024,929621876
1503873,in_route,in_route,16/5/2020 9:35:40,16/5/2020,Shipit0025,David Ramos,starken,TEST025,929621853
1503872,in_route,in_route,16/5/2020 9:35:39,16/5/2020,Shipit0026,Juan Garcia,starken,TEST026,929621874
1503871,in_route,in_route,16/5/2020 9:35:38,16/5/2020,Shipit0027,Jose Antonio Gonzalez,starken,TEST027,929621851
1503870,in_route,in_route,16/5/2020 9:35:38,16/5/2020,Shipit0028,Javier Fernandez,starken,TEST028,929621870
1503869,in_route,first_closed_address,16/5/2020 9:35:37,16/5/2020,Shipit0029,Daniel Perez,starken,TEST029,929621869
1503868,by_retired,by_retired,16/5/2020 9:35:36,16/5/2020,Shipit0030,Jose Luis Lopez,starken,TEST030,929621849
1503867,by_retired,by_retired,16/5/2020 9:35:35,16/5/2020,Shipit0031,Francisco Javier Rodriguez,starken,TEST031,929621850
1503866,delivered,delivered,16/5/2020 9:35:34,16/5/2020,Shipit0032,Carlos Martinez,starken,TEST032,929621868
1503865,delivered,delivered,16/5/2020 9:35:33,16/5/2020,Shipit0033,Jesus Sanchez,starken,TEST033,929621846
1503864,delivered,delivered,16/5/2020 9:35:32,16/5/2020,Shipit0034,Alejandro Gomez,starken,TEST034,929621848
1503863,delivered,delivered,16/5/2020 9:35:31,16/5/2020,Shipit0035,Miguel Alvarez,starken,TEST035,929621826
1503862,delivered,delivered,16/5/2020 9:35:31,16/5/2020,Shipit0036,Jose Manuel Martin,starken,TEST036,929621825
1503861,delivered,delivered,16/5/2020 9:35:30,16/5/2020,Shipit0037,Rafael Diaz,starken,TEST037,929621845
1503860,delivered,delivered,16/5/2020 9:35:29,16/5/2020,Shipit0038,Miguel Angel Alonso,starken,TEST038,929621843
1503859,delivered,delivered,16/5/2020 9:35:28,16/5/2020,Shipit0039,Pedro Ruiz,starken,TEST039,929621842
1503858,delivered,delivered,16/5/2020 9:35:27,16/5/2020,Shipit0040,Angel Hernandez,starken,TEST040,929621844
1503857,delivered,delivered,16/5/2020 9:35:26,16/5/2020,Shipit0041,Antonio Gutierrez,starken,TEST041,929621840
1503856,delivered,delivered,16/5/2020 9:35:25,16/5/2020,Shipit0042,Jose Blanco,starken,TEST042,929621824
1503855,delivered,delivered,16/5/2020 9:35:25,16/5/2020,Shipit0043,Manuel Jimenez,starken,TEST043,929621841
1503854,delivered,delivered,16/5/2020 9:35:24,16/5/2020,Shipit0044,Francisco Moreno,starken,TEST044,929621837
1503853,delivered,delivered,16/5/2020 9:35:23,16/5/2020,Shipit0045,David Muñoz,starken,TEST045,929621821
1503852,delivered,delivered,16/5/2020 9:35:22,16/5/2020,Shipit0046,Juan Vazquez,starken,TEST046,929621838
1503851,delivered,delivered,16/5/2020 9:35:21,16/5/2020,Shipit0047,Jose Antonio Gil,starken,TEST047,929621835
1503850,delivered,delivered,16/5/2020 9:35:20,16/5/2020,Shipit0048,Javier Dominguez,starken,TEST048,929621823
1503849,delivered,delivered,16/5/2020 9:35:19,16/5/2020,Shipit0049,Daniel Castro,starken,TEST049,929621836
1503848,delivered,delivered,16/5/2020 9:35:19,16/5/2020,Shipit0050,Jose Luis Ramos,starken,TEST050,929621820
