ticket_id,status,requester_type,requester_email,from_zendesk,kind,message
1000000,pending,shipit_client,demo@shipit.cl,FALSE,Pregunta,Fugiat qui fugiat et adipisicing dolor ipsum aliqua sint tempor. Est eu enim nulla ipsum voluptate officia excepteur amet nulla. Consectetur et cupidatat dolore elit culpa occaecat. Ipsum sunt voluptate reprehenderit aliquip elit mollit laboris eu magna aute aute sunt.
1000001,pending,shipit_client,demo@shipit.cl,FALSE,Pregunta,Deserunt pariatur ullamco sint do laborum voluptate eu id nostrud. Elit eiusmod esse excepteur dolore nostrud culpa sunt officia Lorem. Velit do occaecat ipsum non et consectetur. Amet enim aute Lorem pariatur consequat irure officia magna incididunt cillum cillum. Officia irure nisi reprehenderit pariatur sunt magna duis est. Veniam qui ullamco ut ex non laborum labore esse pariatur elit. Minim adipisicing consectetur anim irure cupidatat ullamco.
1000002,pending,shipit_client,demo@shipit.cl,FALSE,Pregunta,Consequat minim amet non est est pariatur eu aliquip. Ullamco est do in dolor do minim quis. Exercitation reprehenderit do fugiat amet proident Lorem duis consequat id consequat Lorem sint voluptate.
1000003,pending,shipit_client,demo@shipit.cl,FALSE,Problema,Officia est id in ea et reprehenderit anim enim quis nostrud eu. Adipisicing incididunt cillum duis qui irure cupidatat eu laborum et minim dolore irure. Aliquip amet cupidatat cupidatat qui proident incididunt culpa consectetur fugiat. Proident veniam ea minim consequat ut velit exercitation ullamco. Est irure duis elit voluptate incididunt duis veniam non irure ullamco nulla reprehenderit adipisicing dolore. Fugiat proident irure non laboris Lorem enim Lorem excepteur do reprehenderit fugiat adipisicing magna fugiat. Mollit labore deserunt eiusmod cillum.
1000004,pending,shipit_client,demo@shipit.cl,FALSE,Problema,Fugiat qui fugiat et adipisicing dolor ipsum aliqua sint tempor. Est eu enim nulla ipsum voluptate officia excepteur amet nulla. Consectetur et cupidatat dolore elit culpa occaecat. Ipsum sunt voluptate reprehenderit aliquip elit mollit laboris eu magna aute aute sunt.
1000005,pending,shipit_client,demo@shipit.cl,FALSE,Problema,Deserunt pariatur ullamco sint do laborum voluptate eu id nostrud. Elit eiusmod esse excepteur dolore nostrud culpa sunt officia Lorem. Velit do occaecat ipsum non et consectetur. Amet enim aute Lorem pariatur consequat irure officia magna incididunt cillum cillum. Officia irure nisi reprehenderit pariatur sunt magna duis est. Veniam qui ullamco ut ex non laborum labore esse pariatur elit. Minim adipisicing consectetur anim irure cupidatat ullamco.
1000006,solved,shipit_client,demo@shipit.cl,FALSE,Incidente,Consequat minim amet non est est pariatur eu aliquip. Ullamco est do in dolor do minim quis. Exercitation reprehenderit do fugiat amet proident Lorem duis consequat id consequat Lorem sint voluptate.
1000007,solved,shipit_client,demo@shipit.cl,FALSE,Incidente,Officia est id in ea et reprehenderit anim enim quis nostrud eu. Adipisicing incididunt cillum duis qui irure cupidatat eu laborum et minim dolore irure. Aliquip amet cupidatat cupidatat qui proident incididunt culpa consectetur fugiat. Proident veniam ea minim consequat ut velit exercitation ullamco. Est irure duis elit voluptate incididunt duis veniam non irure ullamco nulla reprehenderit adipisicing dolore. Fugiat proident irure non laboris Lorem enim Lorem excepteur do reprehenderit fugiat adipisicing magna fugiat. Mollit labore deserunt eiusmod cillum.
1000008,solved,shipit_client,demo@shipit.cl,FALSE,Incidente,Fugiat qui fugiat et adipisicing dolor ipsum aliqua sint tempor. Est eu enim nulla ipsum voluptate officia excepteur amet nulla. Consectetur et cupidatat dolore elit culpa occaecat. Ipsum sunt voluptate reprehenderit aliquip elit mollit laboris eu magna aute aute sunt.
1000009,solved,shipit_client,demo@shipit.cl,FALSE,Incidente,Deserunt pariatur ullamco sint do laborum voluptate eu id nostrud. Elit eiusmod esse excepteur dolore nostrud culpa sunt officia Lorem. Velit do occaecat ipsum non et consectetur. Amet enim aute Lorem pariatur consequat irure officia magna incididunt cillum cillum. Officia irure nisi reprehenderit pariatur sunt magna duis est. Veniam qui ullamco ut ex non laborum labore esse pariatur elit. Minim adipisicing consectetur anim irure cupidatat ullamco.
1000010,closed,shipit_client,demo@shipit.cl,FALSE,Incidente,Consequat minim amet non est est pariatur eu aliquip. Ullamco est do in dolor do minim quis. Exercitation reprehenderit do fugiat amet proident Lorem duis consequat id consequat Lorem sint voluptate.
1000011,closed,shipit_client,demo@shipit.cl,FALSE,Incidente,Officia est id in ea et reprehenderit anim enim quis nostrud eu. Adipisicing incididunt cillum duis qui irure cupidatat eu laborum et minim dolore irure. Aliquip amet cupidatat cupidatat qui proident incididunt culpa consectetur fugiat. Proident veniam ea minim consequat ut velit exercitation ullamco. Est irure duis elit voluptate incididunt duis veniam non irure ullamco nulla reprehenderit adipisicing dolore. Fugiat proident irure non laboris Lorem enim Lorem excepteur do reprehenderit fugiat adipisicing magna fugiat. Mollit labore deserunt eiusmod cillum.
1000012,closed,shipit_client,demo@shipit.cl,FALSE,Pregunta,Fugiat qui fugiat et adipisicing dolor ipsum aliqua sint tempor. Est eu enim nulla ipsum voluptate officia excepteur amet nulla. Consectetur et cupidatat dolore elit culpa occaecat. Ipsum sunt voluptate reprehenderit aliquip elit mollit laboris eu magna aute aute sunt.
1000013,closed,shipit_client,demo@shipit.cl,FALSE,Pregunta,Deserunt pariatur ullamco sint do laborum voluptate eu id nostrud. Elit eiusmod esse excepteur dolore nostrud culpa sunt officia Lorem. Velit do occaecat ipsum non et consectetur. Amet enim aute Lorem pariatur consequat irure officia magna incididunt cillum cillum. Officia irure nisi reprehenderit pariatur sunt magna duis est. Veniam qui ullamco ut ex non laborum labore esse pariatur elit. Minim adipisicing consectetur anim irure cupidatat ullamco.
1000014,closed,shipit_client,demo@shipit.cl,FALSE,Pregunta,Consequat minim amet non est est pariatur eu aliquip. Ullamco est do in dolor do minim quis. Exercitation reprehenderit do fugiat amet proident Lorem duis consequat id consequat Lorem sint voluptate.
1000015,closed,shipit_client,demo@shipit.cl,FALSE,Pregunta,Officia est id in ea et reprehenderit anim enim quis nostrud eu. Adipisicing incididunt cillum duis qui irure cupidatat eu laborum et minim dolore irure. Aliquip amet cupidatat cupidatat qui proident incididunt culpa consectetur fugiat. Proident veniam ea minim consequat ut velit exercitation ullamco. Est irure duis elit voluptate incididunt duis veniam non irure ullamco nulla reprehenderit adipisicing dolore. Fugiat proident irure non laboris Lorem enim Lorem excepteur do reprehenderit fugiat adipisicing magna fugiat. Mollit labore deserunt eiusmod cillum.
1000016,closed,shipit_client,demo@shipit.cl,FALSE,Incidente,Fugiat qui fugiat et adipisicing dolor ipsum aliqua sint tempor. Est eu enim nulla ipsum voluptate officia excepteur amet nulla. Consectetur et cupidatat dolore elit culpa occaecat. Ipsum sunt voluptate reprehenderit aliquip elit mollit laboris eu magna aute aute sunt.
1000017,closed,shipit_client,demo@shipit.cl,FALSE,Incidente,Deserunt pariatur ullamco sint do laborum voluptate eu id nostrud. Elit eiusmod esse excepteur dolore nostrud culpa sunt officia Lorem. Velit do occaecat ipsum non et consectetur. Amet enim aute Lorem pariatur consequat irure officia magna incididunt cillum cillum. Officia irure nisi reprehenderit pariatur sunt magna duis est. Veniam qui ullamco ut ex non laborum labore esse pariatur elit. Minim adipisicing consectetur anim irure cupidatat ullamco.
1000018,closed,shipit_client,demo@shipit.cl,FALSE,Incidente,Consequat minim amet non est est pariatur eu aliquip. Ullamco est do in dolor do minim quis. Exercitation reprehenderit do fugiat amet proident Lorem duis consequat id consequat Lorem sint voluptate.
1000019,closed,shipit_client,demo@shipit.cl,FALSE,Incidente,Officia est id in ea et reprehenderit anim enim quis nostrud eu. Adipisicing incididunt cillum duis qui irure cupidatat eu laborum et minim dolore irure. Aliquip amet cupidatat cupidatat qui proident incididunt culpa consectetur fugiat. Proident veniam ea minim consequat ut velit exercitation ullamco. Est irure duis elit voluptate incididunt duis veniam non irure ullamco nulla reprehenderit adipisicing dolore. Fugiat proident irure non laboris Lorem enim Lorem excepteur do reprehenderit fugiat adipisicing magna fugiat. Mollit labore deserunt eiusmod cillum.
